timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,year
2015-02-01,1117,6.0,1.5,87.0,34.0,26.0,0.0,1.0,3.0,2015
2015-02-02,3556,3.0,-0.5,70.0,17.0,2.0,0.0,0.0,3.0,2015
2015-02-03,2972,4.0,1.0,93.0,17.5,26.0,0.0,0.0,3.0,2015
2015-02-04,3502,5.0,2.0,93.0,19.0,7.0,0.0,0.0,3.0,2015
2015-02-05,2894,5.0,2.0,93.0,21.0,26.0,0.0,0.0,3.0,2015
2015-02-06,3214,5.0,1.0,84.0,27.0,4.0,0.0,0.0,3.0,2015
2015-02-07,1165,6.0,3.5,87.0,16.0,4.0,0.0,1.0,3.0,2015
2015-02-08,1824,8.0,6.5,87.0,14.0,4.0,0.0,1.0,3.0,2015
2015-02-09,3721,9.5,8.5,93.0,16.5,4.0,0.0,0.0,3.0,2015
2015-02-10,3788,7.0,7.0,93.0,14.0,4.0,0.0,0.0,3.0,2015
2015-02-11,3671,5.5,5.0,81.0,12.0,4.0,0.0,0.0,3.0,2015
2015-02-12,3729,5.0,4.0,81.0,12.0,4.0,0.0,0.0,3.0,2015
2015-02-13,3205,9.0,6.5,93.0,26.0,7.0,0.0,0.0,3.0,2015
2015-02-14,1475,8.5,6.0,96.5,19.5,7.0,0.0,1.0,3.0,2015
2015-02-15,1870,9.5,9.0,96.5,11.0,26.0,0.0,1.0,3.0,2015
2015-02-16,3323,9.0,8.0,100.0,17.0,26.0,0.0,0.0,3.0,2015
2015-02-17,3582,9.0,6.5,81.0,18.0,3.0,0.0,0.0,3.0,2015
2015-02-18,3582,10.5,9.5,81.0,21.5,3.0,0.0,0.0,3.0,2015
2015-02-19,3559,9.0,5.5,90.0,29.0,7.0,0.0,0.0,3.0,2015
2015-02-20,3051,8.0,7.0,93.0,16.0,7.0,0.0,0.0,3.0,2015
2015-02-21,1530,7.0,4.5,93.0,22.5,7.0,0.0,1.0,3.0,2015
2015-02-22,1294,10.5,9.0,88.0,33.5,7.0,0.0,1.0,3.0,2015
2015-02-23,3618,9.5,5.5,78.5,38.0,7.0,0.0,0.0,3.0,2015
2015-02-24,3841,9.5,5.5,81.0,39.0,7.0,0.0,0.0,3.0,2015
